2026/09/25 10:27:53.091, 757 MiB, 64 %, 78, 2445 MHz, 62.58 W, 0x0000000000000000
2026/09/25 10:27:55.092, 757 MiB, 64 %, 78, 2445 MHz, 62.41 W, 0x0000000000000000
2026/09/25 10:27:57.095, 757 MiB, 68 %, 78, 2445 MHz, 64.12 W, 0x0000000000000000
2026/09/25 10:27:59.108, 757 MiB, 69 %, 78, 2445 MHz, 63.32 W, 0x0000000000000000
2026/09/25 10:28:01.116, 757 MiB, 67 %, 78, 2430 MHz, 64.45 W, 0x0000000000000000
2026/09/25 10:28:03.117, 757 MiB, 68 %, 78, 2445 MHz, 64.48 W, 0x0000000000000000
2026/09/25 10:28:05.120, 757 MiB, 66 %, 79, 2445 MHz, 64.67 W, 0x0000000000000000
2026/09/25 10:28:07.126, 757 MiB, 69 %, 79, 2445 MHz, 64.03 W, 0x0000000000000004
2026/09/25 10:28:09.128, 757 MiB, 67 %, 79, 2445 MHz, 64.75 W, 0x0000000000000000
2026/09/25 10:28:11.133, 757 MiB, 69 %, 78, 2445 MHz, 63.96 W, 0x0000000000000000
2026/09/25 10:28:13.147, 757 MiB, 68 %, 78, 2445 MHz, 64.52 W, 0x0000000000000000
2026/09/25 10:28:15.154, 757 MiB, 70 %, 78, 2445 MHz, 64.86 W, 0x0000000000000000
2026/09/25 10:28:17.168, 757 MiB, 69 %, 78, 2445 MHz, 64.53 W, 0x0000000000000004
2026/09/25 10:28:19.174, 757 MiB, 66 %, 78, 2445 MHz, 63.97 W, 0x0000000000000000
2026/09/25 10:28:21.176, 757 MiB, 62 %, 78, 2445 MHz, 61.24 W, 0x0000000000000000
2026/09/25 10:28:23.190, 757 MiB, 65 %, 78, 2445 MHz, 62.91 W, 0x0000000000000000
2026/09/25 10:28:25.195, 757 MiB, 67 %, 79, 2445 MHz, 64.81 W, 0x0000000000000000
2026/09/25 10:28:27.205, 757 MiB, 65 %, 77, 2415 MHz, 58.62 W, 0x0000000000000004
2026/09/25 10:28:29.210, 757 MiB, 61 %, 78, 2445 MHz, 63.13 W, 0x0000000000000004
2026/09/25 10:28:31.225, 757 MiB, 60 %, 78, 2445 MHz, 63.04 W, 0x0000000000000000
2026/09/25 10:28:33.229, 757 MiB, 68 %, 78, 2445 MHz, 63.88 W, 0x0000000000000000
2026/09/25 10:28:35.243, 757 MiB, 67 %, 78, 2445 MHz, 61.12 W, 0x0000000000000000
2026/09/25 10:28:37.250, 757 MiB, 68 %, 78, 2445 MHz, 61.38 W, 0x0000000000000004
2026/09/25 10:28:39.265, 757 MiB, 53 %, 77, 2445 MHz, 61.64 W, 0x0000000000000000
2026/09/25 10:28:41.268, 757 MiB, 46 %, 74, 2445 MHz, 50.06 W, 0x0000000000000000
2026/09/25 10:28:43.269, 757 MiB, 41 %, 76, 2460 MHz, 49.26 W, 0x0000000000000000
2026/09/25 10:28:45.270, 757 MiB, 55 %, 73, 2460 MHz, 49.46 W, 0x0000000000000000
2026/09/25 10:28:47.279, 757 MiB, 48 %, 74, 2460 MHz, 48.21 W, 0x0000000000000000
2026/09/25 10:28:49.280, 757 MiB, 54 %, 73, 2460 MHz, 49.67 W, 0x0000000000000000
2026/09/25 10:28:51.283, 757 MiB, 42 %, 73, 2460 MHz, 46.16 W, 0x0000000000000000
2026/09/25 10:28:53.288, 757 MiB, 46 %, 73, 2460 MHz, 46.83 W, 0x0000000000000000
2026/09/25 10:28:55.290, 757 MiB, 47 %, 74, 2460 MHz, 45.95 W, 0x0000000000000000
2026/09/25 10:28:57.305, 757 MiB, 41 %, 73, 2460 MHz, 44.71 W, 0x0000000000000000
2026/09/25 10:28:59.317, 757 MiB, 46 %, 73, 2460 MHz, 44.20 W, 0x0000000000000000
2026/09/25 10:29:01.324, 757 MiB, 44 %, 72, 2460 MHz, 44.25 W, 0x0000000000000000
2026/09/25 10:29:03.330, 757 MiB, 38 %, 70, 2460 MHz, 44.13 W, 0x0000000000000000
2026/09/25 10:29:05.343, 757 MiB, 51 %, 72, 2460 MHz, 44.09 W, 0x0000000000000000
2026/09/25 10:29:07.358, 757 MiB, 41 %, 71, 2460 MHz, 43.65 W, 0x0000000000000000
2026/09/25 10:29:09.366, 757 MiB, 50 %, 71, 2460 MHz, 45.26 W, 0x0000000000000000
2026/09/25 10:29:11.379, 757 MiB, 47 %, 71, 2460 MHz, 45.46 W, 0x0000000000000000
